itemid,hotelname,hotelid,roomtype_tokens_str,amenity_vector
213,Alp Art Hotel,129841,double,"{'hair dryer', 'alarm clock', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'whirlpool bathtub', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms', 'soundproofing'}"
214,Alp Art Hotel,129841,double,"{'hair dryer', 'alarm clock', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
215,Alp Art Hotel,129841,family,"{'hair dryer', 'alarm clock', 'separate dining area', 'kitchenware', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'free bottled water', 'telephone', 'blackout curtains', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'smoke detector', 'seating area', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
216,Alp Art Hotel,129841,quadruple,"{'hair dryer', 'alarm clock', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'free bottled water', 'telephone', 'linens', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
217,Alp Art Hotel,129841,single,"{'hair dryer', 'alarm clock', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'free bottled water', 'telephone', 'linens', 'satellitecable', 'desk', 'air conditioning', 'daily housekeeping', 'smoke detector', 'seating area', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
218,Alp Art Hotel,129841,double,"{'hair dryer', 'alarm clock', 'kitchenware', 'safebox', 'wake-up service', 'refrigerator', 'towels', 'free bottled water', 'telephone', 'linens', 'sofa', 'satellitecable', 'air conditioning', 'daily housekeeping', 'smoke detector', 'toiletries', 'heating', 'woodenparqueted flooring', 'free wi-fi in all rooms'}"
219,Alp Art Hotel,129841,quadruple,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
220,Alp Art Hotel,129841,triple,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
221,Alp Art Hotel,129841,triple,"{'safebox', 'shower', 'tv', 'air conditioning', 'free wi-fi in all rooms'}"
222,Pedros,129905,suite,"{'carpeting', 'hair dryer', 'closet', 'additional bathroom', 'safebox', 'wake-up service', 'minibar', 'telephone', 'dressing room', 'cleaning products', 'additional toilet', 'sofa', 'satellitecable', 'desk', 'air conditioning', 'seating area', 'toiletries', 'heating', 'free wi-fi in all rooms', 'interconnecting rooms'}"
223,Pedros,129905,double,"{'safebox', 'telephone', 'toiletries', 'minibar', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
224,Hotel Gasthof Adler,129963,family,"{'safebox', 'telephone', 'carpeting', 'seating area', 'high chair', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'closet', 'towels', 'linens', 'sofa', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
225,Hotel Gasthof Adler,129963,double,"{'safebox', 'telephone', 'carpeting', 'seating area', 'high chair', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'closet', 'towels', 'linens', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
226,Hotel Gasthof Adler,129963,single,"{'safebox', 'telephone', 'carpeting', 'seating area', 'high chair', 'hair dryer', 'toiletries', 'heating', 'alarm clock', 'closet', 'towels', 'linens', 'satellitecable', 'air conditioning', 'free wi-fi in all rooms'}"
